cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00957571,0.0849753,0.0163763
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0243476,0.164254,0.0345385
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0130378,0.156484,0.00540388
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0.0332434,0.0
sc_chacha20_neon,1.5,0,0.0364470,0.333130,0.0189303
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0857479,0.356282,0.109808
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0786041,0.457506,0.0676954
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0840214,0.406491,0.0906654
sc_freestyle_fast,2.0,0,0.0517691,0.164526,0.109946
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.268685,0.497610,0.361145
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.264372,0.657182,0.275682
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.220997,0.475518,0.296689
sc_freestyle_balanced,2.5,0,0.0536924,0.0,0.243933
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.982893,0.851123,1
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.986250,0.959849,0.906698
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,0.908338,0.964865
sc_freestyle_secure,3.0,0,0.747064,1,0.642226
